,"RM","EN","EP","NB","BK","AS","MA",19,12,"LM","FV","CL","SL","BF","HY","SH","UC","FM","CN","PH","WC","LF","OR","RR","OW","EM","MT","PL","CC",16,24,"GP","BP","DC","CM","CV","ED","NC","WP","SS","SB","SO","MB","WD"
"FV"," 114 "," 156 "," 68 "," 80 "," 323 "," 131 "," 194 "," 187 "," 250 "," 152 "," 19 "," 311 "," 256 "," 285 "," 261 "," 112 "," 101 "," 164 "," 53 "," 29 "," 50 "," 26 "," 33 "," 58 "," 122 "," 865 "," 956 "," 913 "," 804 "," 310 "," 216 "," 62 "," 81 "," 61 "," 16 "," 72 "," 130 "," 11 "," 67 "," 13 "," 31 "," 68 "," 29 "," 66 "
"CL"," 113 "," 183 "," 78 "," 92 "," 281 "," 127 "," 221 "," 259 "," 400 "," 245 "," 332 "," 20 "," 180 "," 246 "," 228 "," 113 "," 134 "," 243 "," 93 "," 87 "," 101 "," 55 "," 35 "," 72 "," 132 "," 656 "," 609 "," 620 "," 502 "," 153 "," 140 "," 60 "," 62 "," 77 "," 21 "," 93 "," 317 "," 36 "," 134 "," 17 "," 34 "," 62 "," 35 "," 123 "
"SL"," 48 "," 82 "," 32 "," 29 "," 180 "," 49 "," 138 "," 227 "," 366 "," 280 "," 263 "," 196 "," 14 "," 135 "," 184 "," 95 "," 95 "," 145 "," 44 "," 25 "," 25 "," 12 "," 8 "," 27 "," 52 "," 719 "," 708 "," 572 "," 467 "," 124 "," 88 "," 41 "," 53 "," 51 "," 10 "," 50 "," 97 "," 12 "," 47 "," 14 "," 17 "," 46 "," 18 "," 55 "
"BF"," 38 "," 61 "," 17 "," 22 "," 136 "," 40 "," 132 "," 199 "," 353 "," 250 "," 289 "," 240 "," 133 "," 17 "," 187 "," 104 "," 143 "," 250 "," 30 "," 13 "," 21 "," 6 "," 6 "," 13 "," 44 "," 626 "," 660 "," 528 "," 393 "," 114 "," 76 "," 32 "," 47 "," 44 "," 12 "," 68 "," 214 "," 9 "," 29 "," 8 "," 18 "," 23 "," 10 "," 131 "
"HY"," 45 "," 71 "," 27 "," 31 "," 147 "," 50 "," 129 "," 214 "," 307 "," 171 "," 263 "," 232 "," 193 "," 201 "," 15 "," 117 "," 207 "," 355 "," 31 "," 26 "," 23 "," 9 "," 5 "," 16 "," 44 "," 474 "," 503 "," 375 "," 306 "," 83 "," 60 "," 30 "," 27 "," 33 "," 7 "," 29 "," 80 "," 12 "," 48 "," 8 "," 21 "," 25 "," 10 "," 43 "
"SH"," 24 "," 38 "," 8 "," 13 "," 105 "," 26 "," 68 "," 144 "," 172 "," 95 "," 111 "," 108 "," 88 "," 102 "," 104 "," 9 "," 73 "," 176 "," 18 "," 12 "," 9 "," 5 "," 3 "," 8 "," 16 "," 407 "," 373 "," 269 "," 209 "," 67 "," 50 "," 14 "," 19 "," 24 "," 5 "," 20 "," 39 "," 4 "," 20 "," 7 "," 8 "," 14 "," 4 "," 27 "
"UC"," 21 "," 41 "," 14 "," 22 "," 155 "," 44 "," 96 "," 218 "," 251 "," 129 "," 103 "," 140 "," 104 "," 149 "," 199 "," 83 "," 16 "," 188 "," 20 "," 15 "," 18 "," 3 "," 5 "," 12 "," 12 "," 865 "," 796 "," 413 "," 274 "," 69 "," 31 "," 14 "," 21 "," 33 "," 7 "," 25 "," 70 "," 7 "," 21 "," 6 "," 7 "," 32 "," 8 "," 31 "
"FM"," 48 "," 86 "," 50 "," 35 "," 334 "," 67 "," 147 "," 349 "," 371 "," 185 "," 179 "," 240 "," 155 "," 259 "," 361 "," 199 "," 204 "," 45 "," 35 "," 48 "," 31 "," 14 "," 12 "," 38 "," 23 "," 1,826 "," 1,552 "," 659 "," 443 "," 121 "," 60 "," 31 "," 34 "," 56 "," 11 "," 37 "," 104 "," 16 "," 49 "," 6 "," 9 "," 64 "," 9 "," 38 "
"CN"," 28 "," 39 "," 19 "," 23 "," 147 "," 31 "," 146 "," 308 "," 345 "," 30 "," 53 "," 96 "," 45 "," 29 "," 33 "," 18 "," 20 "," 33 "," 20 "," 112 "," 319 "," 112 "," 47 "," 84 "," 25 "," 891 "," 973 "," 544 "," 463 "," 107 "," 88 "," 46 "," 44 "," 61 "," 22 "," 6 "," 16 "," 67 "," 371 "," 20 "," 33 "," 123 "," 27 "," 8 "
"PH"," 19 "," 22 "," 19 "," 18 "," 159 "," 24 "," 135 "," 322 "," 317 "," 23 "," 27 "," 86 "," 21 "," 11 "," 27 "," 12 "," 17 "," 44 "," 112 "," 16 "," 128 "," 45 "," 30 "," 106 "," 16 "," 1,565 "," 1,550 "," 598 "," 493 "," 115 "," 66 "," 89 "," 35 "," 56 "," 18 "," 4 "," 7 "," 36 "," 140 "," 22 "," 30 "," 151 "," 22 "," 4 "
"WC"," 27 "," 51 "," 25 "," 36 "," 179 "," 33 "," 141 "," 288 "," 288 "," 32 "," 44 "," 95 "," 27 "," 25 "," 21 "," 12 "," 18 "," 30 "," 349 "," 136 "," 21 "," 72 "," 49 "," 163 "," 21 "," 1,333 "," 1,322 "," 551 "," 423 "," 97 "," 65 "," 51 "," 35 "," 50 "," 25 "," 10 "," 9 "," 76 "," 284 "," 18 "," 22 "," 178 "," 32 "," 6 "
"LF"," 11 "," 10 "," 9 "," 11 "," 93 "," 12 "," 58 "," 157 "," 162 "," 13 "," 25 "," 50 "," 13 "," 5 "," 9 "," 6 "," 3 "," 13 "," 140 "," 57 "," 77 "," 13 "," 18 "," 83 "," 7 "," 959 "," 909 "," 333 "," 267 "," 52 "," 28 "," 19 "," 12 "," 19 "," 6 "," 3 "," 3 "," 17 "," 46 "," 6 "," 12 "," 96 "," 15 "," 2 "
"OR"," 13 "," 18 "," 8 "," 9 "," 69 "," 11 "," 51 "," 101 "," 116 "," 12 "," 32 "," 32 "," 8 "," 4 "," 6 "," 3 "," 5 "," 11 "," 47 "," 35 "," 48 "," 20 "," 13 "," 70 "," 5 "," 804 "," 727 "," 241 "," 213 "," 44 "," 29 "," 30 "," 13 "," 15 "," 6 "," 1 "," 4 "," 11 "," 26 "," 5 "," 7 "," 72 "," 12 "," 1 "
"RR"," 25 "," 36 "," 42 "," 23 "," 74 "," 19 "," 76 "," 197 "," 215 "," 41 "," 61 "," 76 "," 25 "," 14 "," 17 "," 10 "," 11 "," 39 "," 83 "," 108 "," 156 "," 79 "," 68 "," 15 "," 32 "," 1,192 "," 1,317 "," 665 "," 603 "," 218 "," 112 "," 60 "," 29 "," 25 "," 6 "," 7 "," 12 "," 28 "," 64 "," 9 "," 17 "," 143 "," 25 "," 4 "
"OW"," 32 "," 50 "," 17 "," 16 "," 108 "," 40 "," 66 "," 78 "," 108 "," 36 "," 124 "," 140 "," 51 "," 47 "," 40 "," 18 "," 13 "," 24 "," 24 "," 17 "," 17 "," 6 "," 5 "," 32 "," 14 "," 1,515 "," 1,351 "," 940 "," 759 "," 296 "," 177 "," 49 "," 62 "," 36 "," 11 "," 10 "," 26 "," 6 "," 44 "," 17 "," 29 "," 68 "," 33 "," 12 "
"EM"," 395 "," 990 "," 634 "," 802 "," 1,597 "," 902 "," 1,144 "," 1,445 "," 1,474 "," 972 "," 1,035 "," 718 "," 883 "," 774 "," 588 "," 496 "," 994 "," 2,068 "," 1,068 "," 1,936 "," 1,595 "," 1,065 "," 879 "," 1,252 "," 1,738 "," 159 "," 136 "," 560 "," 593 "," 1,159 "," 1,747 "," 1,272 "," 1,535 "," 1,327 "," 830 "," 619 "," 2,092 "," 633 "," 847 "," 653 "," 559 "," 556 "," 1,080 "," 993 "
"MT"," 382 "," 992 "," 628 "," 710 "," 1,152 "," 826 "," 1,083 "," 1,206 "," 1,201 "," 898 "," 996 "," 608 "," 718 "," 689 "," 526 "," 408 "," 810 "," 1,573 "," 1,007 "," 1,544 "," 1,239 "," 839 "," 648 "," 1,142 "," 1,434 "," 144 "," 135 "," 218 "," 572 "," 1,554 "," 2,488 "," 1,848 "," 2,657 "," 1,809 "," 1,095 "," 518 "," 1,436 "," 510 "," 762 "," 867 "," 727 "," 581 "," 1,492 "," 692 "
"PL"," 385 "," 729 "," 346 "," 391 "," 1,058 "," 424 "," 749 "," 790 "," 866 "," 581 "," 768 "," 580 "," 472 "," 445 "," 314 "," 230 "," 326 "," 556 "," 433 "," 476 "," 451 "," 253 "," 186 "," 500 "," 872 "," 789 "," 349 "," 144 "," 412 "," 1,580 "," 1,957 "," 1,281 "," 2,325 "," 1,314 "," 663 "," 249 "," 635 "," 239 "," 507 "," 460 "," 421 "," 1,508 "," 740 "," 311 "
"CC"," 262 "," 574 "," 340 "," 410 "," 703 "," 509 "," 717 "," 762 "," 698 "," 474 "," 718 "," 423 "," 391 "," 340 "," 281 "," 197 "," 252 "," 402 "," 390 "," 440 "," 338 "," 232 "," 171 "," 504 "," 731 "," 587 "," 563 "," 362 "," 77 "," 774 "," 1,176 "," 861 "," 1,410 "," 780 "," 506 "," 200 "," 496 "," 213 "," 451 "," 358 "," 364 "," 624 "," 527 "," 223 "
16," 150 "," 177 "," 98 "," 154 "," 402 "," 252 "," 386 "," 388 "," 333 "," 218 "," 290 "," 154 "," 115 "," 104 "," 84 "," 66 "," 64 "," 115 "," 94 "," 107 "," 90 "," 45 "," 39 "," 190 "," 296 "," 1,145 "," 1,511 "," 1,852 "," 877 "," 37 "," 325 "," 407 "," 708 "," 334 "," 165 "," 51 "," 128 "," 56 "," 147 "," 126 "," 149 "," 256 "," 269 "," 57 "
24," 135 "," 168 "," 53 "," 108 "," 293 "," 144 "," 236 "," 291 "," 277 "," 123 "," 208 "," 139 "," 81 "," 73 "," 58 "," 47 "," 30 "," 57 "," 74 "," 61 "," 55 "," 27 "," 27 "," 107 "," 186 "," 1,512 "," 2,046 "," 2,308 "," 1,203 "," 329 "," 36 "," 319 "," 632 "," 281 "," 145 "," 27 "," 91 "," 42 "," 120 "," 106 "," 136 "," 218 "," 247 "," 41 "
"GP"," 37 "," 58 "," 32 "," 37 "," 143 "," 43 "," 73 "," 139 "," 162 "," 56 "," 55 "," 58 "," 40 "," 27 "," 26 "," 11 "," 13 "," 28 "," 41 "," 48 "," 49 "," 16 "," 18 "," 43 "," 54 "," 1,141 "," 1,462 "," 1,467 "," 770 "," 396 "," 326 "," 25 "," 122 "," 73 "," 67 "," 12 "," 42 "," 14 "," 60 "," 45 "," 68 "," 114 "," 143 "," 24 "
"BP"," 54 "," 82 "," 21 "," 25 "," 97 "," 32 "," 71 "," 106 "," 135 "," 66 "," 71 "," 59 "," 47 "," 42 "," 24 "," 19 "," 21 "," 27 "," 40 "," 31 "," 34 "," 13 "," 9 "," 27 "," 64 "," 1,331 "," 1,730 "," 2,848 "," 1,234 "," 653 "," 622 "," 125 "," 44 "," 103 "," 110 "," 14 "," 53 "," 20 "," 51 "," 70 "," 130 "," 112 "," 161 "," 20 "
"DC"," 44 "," 71 "," 24 "," 26 "," 118 "," 35 "," 75 "," 126 "," 163 "," 66 "," 72 "," 83 "," 49 "," 46 "," 30 "," 27 "," 31 "," 55 "," 59 "," 58 "," 49 "," 15 "," 15 "," 27 "," 44 "," 1,262 "," 1,593 "," 1,528 "," 760 "," 328 "," 304 "," 74 "," 123 "," 22 "," 39 "," 21 "," 87 "," 23 "," 63 "," 63 "," 149 "," 178 "," 217 "," 37 "
"CM"," 16 "," 34 "," 7 "," 11 "," 30 "," 13 "," 26 "," 69 "," 113 "," 12 "," 13 "," 18 "," 9 "," 10 "," 8 "," 5 "," 7 "," 8 "," 25 "," 18 "," 24 "," 6 "," 5 "," 6 "," 13 "," 803 "," 962 "," 785 "," 492 "," 157 "," 150 "," 66 "," 112 "," 40 "," 11 "," 3 "," 24 "," 8 "," 31 "," 22 "," 70 "," 104 "," 114 "," 2 "
"CV"," 6 "," 8 "," 9 "," 9 "," 56 "," 17 "," 30 "," 83 "," 109 "," 122 "," 76 "," 94 "," 54 "," 75 "," 32 "," 20 "," 23 "," 38 "," 7 "," 4 "," 7 "," 3 "," 2 "," 5 "," 9 "," 523 "," 499 "," 303 "," 226 "," 54 "," 28 "," 13 "," 12 "," 20 "," 2 "," 10 "," 118 "," 1 "," 6 "," 3 "," 6 "," 21 "," 7 "," 100 "
"ED"," 20 "," 39 "," 19 "," 21 "," 158 "," 24 "," 70 "," 189 "," 222 "," 184 "," 133 "," 308 "," 100 "," 216 "," 75 "," 39 "," 70 "," 102 "," 15 "," 6 "," 9 "," 4 "," 3 "," 13 "," 24 "," 1,755 "," 1,438 "," 716 "," 546 "," 131 "," 89 "," 50 "," 55 "," 90 "," 24 "," 127 "," 38 "," 3 "," 16 "," 20 "," 18 "," 134 "," 21 "," 46 "
"NC"," 7 "," 12 "," 6 "," 9 "," 52 "," 6 "," 60 "," 164 "," 172 "," 18 "," 12 "," 34 "," 11 "," 9 "," 11 "," 4 "," 7 "," 16 "," 60 "," 38 "," 71 "," 17 "," 10 "," 30 "," 6 "," 510 "," 490 "," 282 "," 246 "," 64 "," 42 "," 16 "," 21 "," 23 "," 9 "," 1 "," 3 "," 8 "," 63 "," 9 "," 8 "," 59 "," 11 "," 1 "
"WP"," 40 "," 54 "," 19 "," 14 "," 128 "," 30 "," 222 "," 247 "," 333 "," 49 "," 68 "," 136 "," 50 "," 33 "," 44 "," 22 "," 21 "," 46 "," 372 "," 145 "," 278 "," 42 "," 31 "," 65 "," 43 "," 678 "," 680 "," 603 "," 554 "," 152 "," 136 "," 64 "," 58 "," 66 "," 29 "," 6 "," 14 "," 72 "," 29 "," 28 "," 48 "," 135 "," 33 "," 11 "
"SS"," 10 "," 26 "," 8 "," 3 "," 30 "," 6 "," 17 "," 61 "," 82 "," 11 "," 12 "," 21 "," 14 "," 9 "," 8 "," 7 "," 6 "," 7 "," 20 "," 22 "," 19 "," 6 "," 5 "," 11 "," 15 "," 617 "," 766 "," 523 "," 362 "," 120 "," 110 "," 45 "," 76 "," 64 "," 21 "," 4 "," 21 "," 8 "," 26 "," 11 "," 38 "," 46 "," 68 "," 5 "
"SB"," 27 "," 45 "," 14 "," 13 "," 46 "," 17 "," 36 "," 54 "," 81 "," 18 "," 29 "," 34 "," 20 "," 16 "," 18 "," 7 "," 10 "," 8 "," 30 "," 32 "," 21 "," 11 "," 6 "," 16 "," 31 "," 555 "," 673 "," 496 "," 372 "," 151 "," 158 "," 78 "," 148 "," 156 "," 81 "," 6 "," 17 "," 9 "," 51 "," 41 "," 13 "," 62 "," 65 "," 4 "
"SO"," 51 "," 100 "," 71 "," 107 "," 202 "," 72 "," 123 "," 97 "," 133 "," 39 "," 62 "," 59 "," 44 "," 28 "," 24 "," 14 "," 28 "," 56 "," 133 "," 176 "," 189 "," 102 "," 80 "," 158 "," 94 "," 545 "," 570 "," 1,254 "," 583 "," 248 "," 222 "," 122 "," 112 "," 177 "," 111 "," 21 "," 137 "," 67 "," 144 "," 47 "," 62 "," 64 "," 410 "," 48 "
"MB"," 31 "," 62 "," 28 "," 37 "," 183 "," 40 "," 60 "," 119 "," 152 "," 22 "," 31 "," 33 "," 17 "," 8 "," 9 "," 5 "," 5 "," 9 "," 26 "," 22 "," 29 "," 12 "," 13 "," 24 "," 34 "," 1,025 "," 1,327 "," 769 "," 503 "," 253 "," 247 "," 141 "," 172 "," 221 "," 125 "," 6 "," 22 "," 10 "," 33 "," 67 "," 57 "," 381 "," 36 "," 8 "
"WD"," 6 "," 18 "," 11 "," 8 "," 81 "," 17 "," 27 "," 100 "," 120 "," 99 "," 73 "," 128 "," 58 "," 139 "," 41 "," 29 "," 35 "," 41 "," 7 "," 6 "," 6 "," 2 "," 1 "," 5 "," 13 "," 885 "," 731 "," 357 "," 253 "," 66 "," 43 "," 27 "," 20 "," 37 "," 3 "," 110 "," 38 "," 3 "," 11 "," 4 "," 4 "," 45 "," 8 "," 14 "
