,"RM","EN","EP","NB","BK","AS","MA",19,12,"LM","FV","CL","SL","BF","HY","SH","UC","FM","CN","PH","WC","LF","OR","RR","OW","EM","MT","PL","CC",16,24,"GP","BP","DC","CM","CV","ED","NC","WP","SS","SB","SO","MB"
"OR"," 8 "," 16 "," 14 "," 7 "," 67 "," 12 "," 42 "," 101 "," 151 "," 10 "," 24 "," 44 "," 9 "," 5 "," 9 "," 3 "," 3 "," 8 "," 69 "," 40 "," 62 "," 24 "," 5 "," 76 "," 6 "," 683 "," 608 "," 220 "," 205 "," 28 "," 17 "," 17 "," 16 "," 31 "," 4 "," 2 "," 3 "," 7 "," 20 "," 3 "," 6 "," 48 "," 8 "
"RR"," 18 "," 29 "," 28 "," 22 "," 72 "," 25 "," 65 "," 180 "," 218 "," 39 "," 56 "," 100 "," 18 "," 21 "," 23 "," 13 "," 9 "," 24 "," 89 "," 110 "," 165 "," 78 "," 75 "," 10 "," 24 "," 1,002 "," 998 "," 572 "," 509 "," 149 "," 101 "," 44 "," 50 "," 56 "," 5 "," 6 "," 12 "," 22 "," 54 "," 7 "," 9 "," 96 "," 20 "
"OW"," 25 "," 35 "," 12 "," 15 "," 78 "," 45 "," 72 "," 60 "," 103 "," 39 "," 130 "," 102 "," 38 "," 39 "," 41 "," 12 "," 16 "," 25 "," 15 "," 10 "," 14 "," 4 "," 5 "," 26 "," 6 "," 1,300 "," 1,019 "," 645 "," 493 "," 155 "," 99 "," 36 "," 51 "," 66 "," 6 "," 5 "," 26 "," 5 "," 37 "," 8 "," 7 "," 39 "," 11 "
"EM"," 279 "," 824 "," 546 "," 549 "," 941 "," 574 "," 903 "," 959 "," 1,205 "," 697 "," 770 "," 625 "," 729 "," 632 "," 444 "," 377 "," 695 "," 1,327 "," 859 "," 1,545 "," 1,335 "," 868 "," 727 "," 984 "," 1,413 "," 118 "," 123 "," 554 "," 499 "," 985 "," 1,564 "," 1,166 "," 1,658 "," 1,031 "," 595 "," 524 "," 1,969 "," 428 "," 722 "," 512 "," 387 "," 423 "," 678 "
"MT"," 235 "," 725 "," 504 "," 504 "," 727 "," 509 "," 842 "," 701 "," 869 "," 612 "," 694 "," 434 "," 604 "," 537 "," 351 "," 317 "," 554 "," 983 "," 698 "," 1,215 "," 959 "," 640 "," 530 "," 827 "," 1,093 "," 137 "," 92 "," 267 "," 507 "," 1,368 "," 2,218 "," 1,702 "," 3,049 "," 1,306 "," 766 "," 439 "," 1,333 "," 327 "," 553 "," 613 "," 464 "," 445 "," 848 "
"PL"," 233 "," 558 "," 293 "," 318 "," 895 "," 325 "," 622 "," 559 "," 757 "," 467 "," 565 "," 547 "," 353 "," 338 "," 233 "," 186 "," 239 "," 476 "," 339 "," 406 "," 405 "," 229 "," 179 "," 463 "," 608 "," 778 "," 391 "," 128 "," 501 "," 1,547 "," 2,026 "," 1,292 "," 2,985 "," 1,025 "," 516 "," 190 "," 742 "," 176 "," 385 "," 401 "," 296 "," 1,348 "," 564 "
"CC"," 183 "," 507 "," 295 "," 306 "," 595 "," 338 "," 579 "," 492 "," 579 "," 358 "," 506 "," 372 "," 336 "," 325 "," 199 "," 192 "," 210 "," 359 "," 339 "," 383 "," 323 "," 220 "," 173 "," 419 "," 473 "," 477 "," 484 "," 459 "," 83 "," 1,042 "," 1,355 "," 856 "," 1,992 "," 720 "," 413 "," 172 "," 534 "," 162 "," 405 "," 326 "," 256 "," 527 "," 367 "
16," 99 "," 98 "," 53 "," 104 "," 331 "," 144 "," 224 "," 223 "," 236 "," 127 "," 184 "," 136 "," 80 "," 73 "," 73 "," 50 "," 40 "," 79 "," 68 "," 77 "," 64 "," 28 "," 26 "," 133 "," 152 "," 961 "," 1,197 "," 1,848 "," 1,126 "," 40 "," 424 "," 407 "," 1,052 "," 256 "," 134 "," 32 "," 94 "," 27 "," 101 "," 88 "," 93 "," 174 "," 130 "
24," 90 "," 116 "," 38 "," 70 "," 286 "," 103 "," 170 "," 209 "," 239 "," 101 "," 146 "," 120 "," 62 "," 47 "," 42 "," 31 "," 18 "," 41 "," 53 "," 39 "," 43 "," 22 "," 17 "," 100 "," 110 "," 1,368 "," 1,806 "," 2,446 "," 1,434 "," 426 "," 53 "," 322 "," 1,059 "," 292 "," 134 "," 16 "," 62 "," 15 "," 87 "," 80 "," 117 "," 170 "," 162 "
"GP"," 23 "," 40 "," 26 "," 24 "," 126 "," 28 "," 71 "," 129 "," 123 "," 38 "," 49 "," 62 "," 28 "," 23 "," 22 "," 11 "," 11 "," 23 "," 34 "," 53 "," 40 "," 19 "," 18 "," 45 "," 40 "," 1,075 "," 1,315 "," 1,596 "," 783 "," 405 "," 336 "," 32 "," 226 "," 74 "," 61 "," 13 "," 50 "," 9 "," 46 "," 38 "," 57 "," 90 "," 85 "
"BP"," 43 "," 86 "," 38 "," 28 "," 95 "," 44 "," 83 "," 106 "," 128 "," 72 "," 85 "," 71 "," 48 "," 30 "," 31 "," 17 "," 20 "," 31 "," 41 "," 27 "," 28 "," 11 "," 16 "," 47 "," 57 "," 1,489 "," 1,706 "," 4,080 "," 1,848 "," 1,021 "," 1,092 "," 243 "," 56 "," 161 "," 129 "," 13 "," 51 "," 14 "," 55 "," 98 "," 121 "," 97 "," 122 "
"DC"," 48 "," 146 "," 64 "," 65 "," 166 "," 69 "," 116 "," 166 "," 192 "," 128 "," 134 "," 132 "," 91 "," 89 "," 57 "," 42 "," 51 "," 70 "," 94 "," 96 "," 71 "," 34 "," 31 "," 54 "," 78 "," 1,008 "," 1,172 "," 1,191 "," 705 "," 269 "," 301 "," 82 "," 163 "," 16 "," 57 "," 45 "," 128 "," 54 "," 89 "," 79 "," 118 "," 184 "," 215 "
"CM"," 13 "," 16 "," 3 "," 3 "," 39 "," 8 "," 22 "," 71 "," 95 "," 9 "," 18 "," 26 "," 11 "," 11 "," 9 "," 5 "," 11 "," 9 "," 17 "," 17 "," 20 "," 4 "," 4 "," 6 "," 9 "," 603 "," 692 "," 606 "," 419 "," 129 "," 140 "," 66 "," 135 "," 46 "," 7 "," 2 "," 32 "," 5 "," 21 "," 14 "," 47 "," 100 "," 64 "
"CV"," 7 "," 7 "," 4 "," 6 "," 60 "," 11 "," 27 "," 65 "," 105 "," 91 "," 56 "," 90 "," 38 "," 60 "," 26 "," 20 "," 17 "," 29 "," 5 "," 5 "," 6 "," 1 "," 2 "," 8 "," 8 "," 457 "," 438 "," 224 "," 190 "," 34 "," 17 "," 12 "," 12 "," 42 "," 2 "," 6 "," 149 "," 1 "," 5 "," 4 "," 6 "," 18 "," 5 "
"ED"," 25 "," 37 "," 16 "," 16 "," 155 "," 31 "," 74 "," 227 "," 315 "," 219 "," 158 "," 429 "," 106 "," 312 "," 97 "," 50 "," 49 "," 72 "," 10 "," 6 "," 11 "," 3 "," 3 "," 12 "," 24 "," 1,714 "," 1,353 "," 788 "," 573 "," 100 "," 65 "," 53 "," 57 "," 138 "," 32 "," 161 "," 18 "," 2 "," 10 "," 25 "," 19 "," 131 "," 17 "
"NC"," 4 "," 7 "," 3 "," 3 "," 38 "," 4 "," 42 "," 104 "," 132 "," 11 "," 12 "," 36 "," 4 "," 6 "," 9 "," 5 "," 2 "," 6 "," 68 "," 31 "," 65 "," 15 "," 7 "," 26 "," 5 "," 362 "," 316 "," 195 "," 166 "," 29 "," 17 "," 9 "," 15 "," 49 "," 4 "," 1 "," 3 "," 4 "," 76 "," 5 "," 5 "," 31 "," 6 "
"WP"," 39 "," 46 "," 13 "," 11 "," 95 "," 28 "," 163 "," 222 "," 276 "," 29 "," 57 "," 113 "," 26 "," 21 "," 45 "," 16 "," 15 "," 30 "," 365 "," 135 "," 224 "," 30 "," 23 "," 60 "," 37 "," 607 "," 535 "," 458 "," 460 "," 112 "," 99 "," 49 "," 56 "," 92 "," 20 "," 6 "," 12 "," 84 "," 11 "," 18 "," 26 "," 85 "," 30 "
"SS"," 9 "," 14 "," 6 "," 9 "," 26 "," 6 "," 17 "," 57 "," 69 "," 18 "," 14 "," 23 "," 9 "," 8 "," 8 "," 5 "," 6 "," 9 "," 15 "," 17 "," 16 "," 2 "," 5 "," 7 "," 10 "," 504 "," 542 "," 446 "," 332 "," 81 "," 82 "," 41 "," 99 "," 87 "," 15 "," 4 "," 23 "," 5 "," 19 "," 7 "," 31 "," 39 "," 54 "
"SB"," 8 "," 21 "," 4 "," 7 "," 32 "," 9 "," 19 "," 40 "," 56 "," 10 "," 18 "," 20 "," 16 "," 12 "," 13 "," 7 "," 5 "," 11 "," 16 "," 15 "," 15 "," 8 "," 5 "," 8 "," 7 "," 392 "," 429 "," 337 "," 280 "," 92 "," 132 "," 59 "," 144 "," 128 "," 54 "," 5 "," 19 "," 5 "," 23 "," 37 "," 6 "," 62 "," 50 "
"SO"," 27 "," 62 "," 53 "," 73 "," 150 "," 48 "," 84 "," 53 "," 88 "," 32 "," 49 "," 47 "," 32 "," 22 "," 13 "," 10 "," 18 "," 42 "," 75 "," 107 "," 131 "," 65 "," 52 "," 105 "," 54 "," 409 "," 417 "," 1,037 "," 499 "," 182 "," 182 "," 100 "," 100 "," 184 "," 95 "," 19 "," 129 "," 36 "," 87 "," 46 "," 62 "," 11 "," 316 "
"MB"," 19 "," 34 "," 13 "," 20 "," 130 "," 21 "," 33 "," 81 "," 99 "," 18 "," 15 "," 38 "," 11 "," 6 "," 5 "," 4 "," 3 "," 7 "," 19 "," 17 "," 18 "," 7 "," 8 "," 18 "," 14 "," 634 "," 750 "," 585 "," 349 "," 130 "," 155 "," 87 "," 137 "," 208 "," 77 "," 6 "," 16 "," 6 "," 31 "," 53 "," 47 "," 311 "," 15 "
