,"RM","EN","EP","NB","BK","AS","MA",19,12,"LM","FV","CL","SL","BF","HY","SH","UC","FM","CN","PH","WC","LF","OR","RR","OW","EM","MT","PL","CC",16,24,"GP","BP","DC","CM","CV","ED","NC","WP","SS","SB","SO","MB"
"RM"," 7 "," 121 "," 98 "," 72 "," 374 "," 91 "," 147 "," 137 "," 166 "," 39 "," 93 "," 93 "," 43 "," 40 "," 33 "," 23 "," 20 "," 33 "," 22 "," 14 "," 22 "," 8 "," 6 "," 17 "," 22 "," 251 "," 234 "," 301 "," 222 "," 121 "," 122 "," 26 "," 41 "," 31 "," 16 "," 7 "," 26 "," 7 "," 39 "," 13 "," 13 "," 27 "," 22 "
"EN"," 133 "," 15 "," 98 "," 73 "," 819 "," 132 "," 262 "," 401 "," 567 "," 85 "," 125 "," 160 "," 52 "," 55 "," 63 "," 31 "," 32 "," 75 "," 41 "," 20 "," 35 "," 7 "," 15 "," 30 "," 43 "," 811 "," 759 "," 738 "," 604 "," 148 "," 142 "," 47 "," 63 "," 72 "," 26 "," 10 "," 39 "," 7 "," 46 "," 26 "," 37 "," 57 "," 59 "
"EP"," 103 "," 86 "," 7 "," 50 "," 612 "," 79 "," 119 "," 207 "," 266 "," 74 "," 61 "," 83 "," 27 "," 16 "," 25 "," 7 "," 10 "," 31 "," 21 "," 17 "," 23 "," 9 "," 8 "," 30 "," 13 "," 499 "," 531 "," 364 "," 307 "," 75 "," 45 "," 27 "," 18 "," 30 "," 5 "," 6 "," 20 "," 3 "," 12 "," 8 "," 5 "," 47 "," 20 "
"NB"," 67 "," 67 "," 55 "," 8 "," 173 "," 50 "," 89 "," 190 "," 239 "," 60 "," 71 "," 86 "," 20 "," 18 "," 14 "," 8 "," 9 "," 30 "," 15 "," 14 "," 23 "," 13 "," 9 "," 20 "," 15 "," 621 "," 627 "," 381 "," 359 "," 132 "," 81 "," 27 "," 15 "," 25 "," 5 "," 6 "," 15 "," 5 "," 14 "," 5 "," 7 "," 77 "," 26 "
"BK"," 399 "," 849 "," 618 "," 190 "," 21 "," 325 "," 434 "," 465 "," 570 "," 241 "," 280 "," 253 "," 166 "," 157 "," 140 "," 113 "," 174 "," 394 "," 126 "," 155 "," 182 "," 102 "," 75 "," 67 "," 72 "," 939 "," 840 "," 1,089 "," 771 "," 357 "," 320 "," 148 "," 122 "," 144 "," 40 "," 65 "," 220 "," 40 "," 110 "," 35 "," 34 "," 164 "," 184 "
"AS"," 87 "," 116 "," 73 "," 51 "," 267 "," 6 "," 81 "," 172 "," 215 "," 69 "," 101 "," 105 "," 36 "," 46 "," 35 "," 19 "," 28 "," 50 "," 26 "," 25 "," 28 "," 12 "," 9 "," 14 "," 29 "," 464 "," 496 "," 355 "," 351 "," 162 "," 114 "," 30 "," 27 "," 28 "," 9 "," 11 "," 32 "," 6 "," 27 "," 5 "," 6 "," 41 "," 22 "
"MA"," 154 "," 270 "," 120 "," 88 "," 404 "," 84 "," 14 "," 163 "," 241 "," 78 "," 160 "," 203 "," 114 "," 104 "," 113 "," 66 "," 75 "," 127 "," 130 "," 102 "," 125 "," 45 "," 40 "," 51 "," 68 "," 889 "," 902 "," 760 "," 698 "," 283 "," 194 "," 84 "," 61 "," 71 "," 24 "," 31 "," 92 "," 35 "," 171 "," 23 "," 22 "," 86 "," 49 "
19," 147 "," 403 "," 203 "," 201 "," 426 "," 180 "," 154 "," 11 "," 61 "," 42 "," 132 "," 171 "," 196 "," 189 "," 189 "," 146 "," 161 "," 356 "," 259 "," 305 "," 244 "," 137 "," 93 "," 133 "," 61 "," 768 "," 734 "," 586 "," 633 "," 243 "," 223 "," 136 "," 96 "," 133 "," 67 "," 59 "," 231 "," 107 "," 227 "," 68 "," 36 "," 45 "," 100 "
12," 180 "," 565 "," 260 "," 246 "," 499 "," 211 "," 239 "," 57 "," 19 "," 47 "," 206 "," 325 "," 328 "," 333 "," 271 "," 211 "," 219 "," 445 "," 310 "," 324 "," 320 "," 177 "," 155 "," 193 "," 82 "," 884 "," 836 "," 840 "," 758 "," 262 "," 267 "," 145 "," 126 "," 166 "," 90 "," 93 "," 302 "," 114 "," 276 "," 81 "," 63 "," 81 "," 119 "
"LM"," 38 "," 84 "," 66 "," 61 "," 220 "," 68 "," 73 "," 42 "," 46 "," 10 "," 138 "," 217 "," 268 "," 241 "," 151 "," 109 "," 117 "," 172 "," 30 "," 22 "," 28 "," 14 "," 20 "," 35 "," 41 "," 593 "," 595 "," 552 "," 429 "," 145 "," 109 "," 53 "," 63 "," 70 "," 10 "," 85 "," 208 "," 9 "," 37 "," 13 "," 11 "," 26 "," 20 "
