,"RM","EN","EP","NB","BK","AS","MA",19,12,"LM","FV","CL","SL","BF","HY","SH","UC","FM","CN","PH","WC","LF","OR","RR","OW","EM","MT","PL","CC",16,24,"GP","BP","DC","CM","CV","ED","NC","WP","SS","SB","SO","MB"
"BF"," 38 "," 48 "," 17 "," 21 "," 149 "," 44 "," 125 "," 208 "," 348 "," 252 "," 285 "," 192 "," 119 "," 8 "," 185 "," 129 "," 136 "," 240 "," 26 "," 16 "," 20 "," 6 "," 5 "," 12 "," 47 "," 552 "," 576 "," 444 "," 353 "," 77 "," 57 "," 25 "," 56 "," 112 "," 14 "," 67 "," 267 "," 5 "," 22 "," 9 "," 10 "," 16 "," 12 "
"HY"," 48 "," 96 "," 32 "," 23 "," 156 "," 47 "," 134 "," 225 "," 297 "," 185 "," 284 "," 227 "," 185 "," 187 "," 8 "," 128 "," 203 "," 364 "," 36 "," 23 "," 28 "," 7 "," 7 "," 18 "," 38 "," 385 "," 362 "," 289 "," 232 "," 63 "," 44 "," 27 "," 43 "," 62 "," 6 "," 26 "," 97 "," 12 "," 45 "," 9 "," 12 "," 14 "," 12 "
"SH"," 18 "," 30 "," 7 "," 8 "," 98 "," 18 "," 69 "," 147 "," 201 "," 104 "," 115 "," 101 "," 80 "," 119 "," 125 "," 5 "," 73 "," 168 "," 17 "," 14 "," 13 "," 5 "," 3 "," 11 "," 21 "," 373 "," 338 "," 215 "," 177 "," 46 "," 38 "," 9 "," 23 "," 65 "," 8 "," 19 "," 52 "," 5 "," 14 "," 6 "," 5 "," 7 "," 7 "
"UC"," 20 "," 32 "," 12 "," 11 "," 168 "," 24 "," 69 "," 166 "," 226 "," 124 "," 103 "," 97 "," 104 "," 149 "," 196 "," 77 "," 13 "," 178 "," 19 "," 19 "," 20 "," 6 "," 6 "," 11 "," 19 "," 661 "," 547 "," 285 "," 220 "," 49 "," 26 "," 13 "," 30 "," 79 "," 10 "," 22 "," 60 "," 2 "," 11 "," 6 "," 6 "," 18 "," 7 "
"FM"," 39 "," 85 "," 44 "," 34 "," 375 "," 65 "," 134 "," 377 "," 459 "," 173 "," 150 "," 172 "," 165 "," 247 "," 381 "," 186 "," 189 "," 22 "," 35 "," 35 "," 29 "," 8 "," 11 "," 28 "," 22 "," 1,364 "," 1,148 "," 499 "," 377 "," 91 "," 42 "," 24 "," 38 "," 98 "," 8 "," 31 "," 91 "," 6 "," 41 "," 8 "," 9 "," 48 "," 8 "
"CN"," 27 "," 43 "," 22 "," 15 "," 148 "," 32 "," 142 "," 280 "," 326 "," 29 "," 56 "," 65 "," 34 "," 28 "," 39 "," 20 "," 20 "," 34 "," 11 "," 115 "," 321 "," 100 "," 60 "," 101 "," 18 "," 783 "," 749 "," 422 "," 360 "," 74 "," 66 "," 43 "," 46 "," 97 "," 22 "," 8 "," 11 "," 71 "," 325 "," 16 "," 24 "," 74 "," 27 "
"PH"," 14 "," 29 "," 17 "," 14 "," 156 "," 25 "," 106 "," 323 "," 344 "," 30 "," 35 "," 61 "," 19 "," 14 "," 21 "," 16 "," 17 "," 33 "," 119 "," 13 "," 105 "," 42 "," 28 "," 113 "," 12 "," 1,389 "," 1,326 "," 532 "," 444 "," 91 "," 54 "," 66 "," 42 "," 125 "," 23 "," 2 "," 7 "," 46 "," 134 "," 23 "," 23 "," 107 "," 22 "
"WC"," 24 "," 33 "," 24 "," 22 "," 147 "," 28 "," 134 "," 261 "," 338 "," 27 "," 48 "," 65 "," 24 "," 19 "," 25 "," 16 "," 19 "," 30 "," 381 "," 112 "," 16 "," 62 "," 59 "," 180 "," 18 "," 1,266 "," 1,142 "," 521 "," 371 "," 93 "," 58 "," 51 "," 36 "," 95 "," 18 "," 7 "," 7 "," 64 "," 204 "," 18 "," 20 "," 143 "," 30 "
"LF"," 12 "," 8 "," 11 "," 12 "," 100 "," 11 "," 50 "," 155 "," 175 "," 15 "," 24 "," 30 "," 8 "," 6 "," 8 "," 5 "," 5 "," 8 "," 134 "," 49 "," 75 "," 8 "," 25 "," 87 "," 7 "," 922 "," 826 "," 291 "," 231 "," 42 "," 24 "," 22 "," 10 "," 40 "," 3 "," 1 "," 3 "," 16 "," 33 "," 3 "," 11 "," 73 "," 11 "
"OR"," 7 "," 15 "," 10 "," 12 "," 72 "," 11 "," 44 "," 108 "," 161 "," 15 "," 43 "," 26 "," 9 "," 5 "," 7 "," 4 "," 5 "," 12 "," 63 "," 36 "," 56 "," 26 "," 6 "," 78 "," 6 "," 798 "," 668 "," 226 "," 193 "," 37 "," 26 "," 24 "," 15 "," 35 "," 5 "," 2 "," 6 "," 9 "," 28 "," 5 "," 9 "," 55 "," 11 "
"RR"," 20 "," 33 "," 35 "," 25 "," 77 "," 18 "," 72 "," 187 "," 216 "," 44 "," 62 "," 58 "," 16 "," 16 "," 16 "," 11 "," 10 "," 27 "," 94 "," 105 "," 177 "," 86 "," 88 "," 11 "," 30 "," 1,054 "," 1,105 "," 571 "," 537 "," 176 "," 112 "," 57 "," 48 "," 54 "," 6 "," 8 "," 13 "," 17 "," 50 "," 8 "," 11 "," 112 "," 24 "
"OW"," 23 "," 37 "," 13 "," 17 "," 88 "," 32 "," 64 "," 58 "," 95 "," 44 "," 135 "," 85 "," 37 "," 51 "," 38 "," 24 "," 19 "," 19 "," 17 "," 13 "," 18 "," 7 "," 6 "," 32 "," 10 "," 1,366 "," 1,072 "," 712 "," 500 "," 184 "," 115 "," 33 "," 64 "," 68 "," 10 "," 10 "," 27 "," 4 "," 37 "," 9 "," 12 "," 41 "," 22 "
"EM"," 284 "," 858 "," 598 "," 616 "," 1,030 "," 598 "," 1,039 "," 1,057 "," 1,230 "," 687 "," 833 "," 555 "," 766 "," 662 "," 452 "," 453 "," 748 "," 1,527 "," 941 "," 1,704 "," 1,525 "," 1,022 "," 861 "," 1,059 "," 1,535 "," 109 "," 110 "," 532 "," 529 "," 991 "," 1,553 "," 1,166 "," 1,550 "," 1,152 "," 626 "," 585 "," 2,310 "," 467 "," 773 "," 528 "," 428 "," 537 "," 854 "
"MT"," 243 "," 738 "," 553 "," 566 "," 784 "," 554 "," 972 "," 804 "," 938 "," 616 "," 752 "," 426 "," 597 "," 601 "," 383 "," 356 "," 573 "," 1,139 "," 747 "," 1,295 "," 1,066 "," 751 "," 591 "," 926 "," 1,131 "," 129 "," 89 "," 223 "," 514 "," 1,193 "," 2,092 "," 1,580 "," 2,602 "," 1,436 "," 803 "," 443 "," 1,513 "," 367 "," 596 "," 662 "," 492 "," 521 "," 1,040 "
"PL"," 249 "," 538 "," 294 "," 317 "," 849 "," 331 "," 667 "," 627 "," 792 "," 471 "," 603 "," 476 "," 363 "," 355 "," 237 "," 178 "," 228 "," 411 "," 334 "," 433 "," 419 "," 227 "," 177 "," 444 "," 649 "," 745 "," 318 "," 114 "," 424 "," 1,371 "," 1,941 "," 1,180 "," 2,750 "," 1,090 "," 507 "," 173 "," 665 "," 170 "," 372 "," 365 "," 313 "," 1,562 "," 581 "
"CC"," 199 "," 500 "," 296 "," 311 "," 610 "," 361 "," 614 "," 557 "," 566 "," 368 "," 561 "," 318 "," 337 "," 304 "," 206 "," 171 "," 203 "," 345 "," 318 "," 382 "," 310 "," 197 "," 159 "," 420 "," 499 "," 454 "," 435 "," 390 "," 69 "," 787 "," 1,159 "," 749 "," 1,728 "," 685 "," 404 "," 157 "," 491 "," 151 "," 378 "," 316 "," 251 "," 555 "," 393 "
16," 106 "," 108 "," 69 "," 123 "," 375 "," 165 "," 271 "," 283 "," 261 "," 154 "," 212 "," 131 "," 99 "," 78 "," 57 "," 45 "," 41 "," 89 "," 63 "," 86 "," 90 "," 40 "," 35 "," 151 "," 172 "," 960 "," 1,121 "," 1,616 "," 877 "," 31 "," 333 "," 348 "," 881 "," 296 "," 140 "," 46 "," 119 "," 35 "," 112 "," 94 "," 102 "," 191 "," 183 "
24," 98 "," 122 "," 55 "," 87 "," 353 "," 115 "," 201 "," 241 "," 256 "," 108 "," 156 "," 99 "," 60 "," 57 "," 44 "," 34 "," 25 "," 38 "," 64 "," 44 "," 54 "," 25 "," 23 "," 108 "," 128 "," 1,321 "," 1,656 "," 2,302 "," 1,221 "," 322 "," 42 "," 323 "," 960 "," 302 "," 148 "," 22 "," 68 "," 24 "," 86 "," 89 "," 124 "," 178 "," 186 "
"GP"," 31 "," 47 "," 27 "," 27 "," 142 "," 33 "," 79 "," 134 "," 147 "," 57 "," 56 "," 53 "," 30 "," 22 "," 28 "," 11 "," 11 "," 21 "," 37 "," 60 "," 50 "," 21 "," 24 "," 51 "," 40 "," 1,081 "," 1,238 "," 1,398 "," 706 "," 326 "," 320 "," 24 "," 189 "," 76 "," 59 "," 13 "," 58 "," 8 "," 50 "," 28 "," 64 "," 84 "," 108 "
"BP"," 65 "," 95 "," 37 "," 38 "," 115 "," 53 "," 102 "," 115 "," 139 "," 79 "," 107 "," 77 "," 66 "," 58 "," 34 "," 26 "," 30 "," 39 "," 48 "," 46 "," 34 "," 11 "," 14 "," 50 "," 83 "," 1,340 "," 1,545 "," 3,510 "," 1,641 "," 817 "," 945 "," 193 "," 38 "," 204 "," 156 "," 18 "," 74 "," 15 "," 59 "," 115 "," 140 "," 56 "," 182 "
"DC"," 67 "," 173 "," 68 "," 73 "," 177 "," 74 "," 139 "," 171 "," 208 "," 138 "," 173 "," 121 "," 101 "," 112 "," 63 "," 71 "," 76 "," 91 "," 95 "," 125 "," 89 "," 41 "," 34 "," 56 "," 82 "," 1,106 "," 1,296 "," 1,297 "," 728 "," 291 "," 340 "," 84 "," 221 "," 18 "," 61 "," 48 "," 159 "," 66 "," 102 "," 80 "," 137 "," 125 "," 273 "
"CM"," 17 "," 24 "," 5 "," 5 "," 41 "," 9 "," 24 "," 70 "," 85 "," 13 "," 18 "," 15 "," 9 "," 12 "," 7 "," 7 "," 8 "," 8 "," 20 "," 20 "," 17 "," 4 "," 3 "," 6 "," 11 "," 628 "," 727 "," 613 "," 420 "," 136 "," 157 "," 64 "," 155 "," 54 "," 6 "," 3 "," 23 "," 7 "," 18 "," 17 "," 60 "," 39 "," 102 "
"CV"," 5 "," 9 "," 6 "," 9 "," 60 "," 13 "," 30 "," 71 "," 103 "," 101 "," 59 "," 51 "," 44 "," 68 "," 23 "," 20 "," 18 "," 32 "," 8 "," 3 "," 6 "," 1 "," 2 "," 8 "," 9 "," 505 "," 447 "," 212 "," 180 "," 47 "," 24 "," 11 "," 17 "," 47 "," 3 "," 5 "," 149 "," 1 "," 4 "," 4 "," 5 "," 19 "," 4 "
"ED"," 25 "," 39 "," 19 "," 18 "," 168 "," 24 "," 93 "," 243 "," 309 "," 235 "," 154 "," 191 "," 126 "," 276 "," 99 "," 53 "," 62 "," 93 "," 12 "," 8 "," 8 "," 3 "," 7 "," 14 "," 24 "," 1,976 "," 1,552 "," 755 "," 544 "," 125 "," 72 "," 64 "," 77 "," 170 "," 27 "," 166 "," 20 "," 3 "," 11 "," 15 "," 21 "," 137 "," 24 "
"NC"," 8 "," 9 "," 4 "," 2 "," 41 "," 5 "," 47 "," 128 "," 126 "," 9 "," 10 "," 17 "," 5 "," 7 "," 11 "," 4 "," 2 "," 5 "," 66 "," 37 "," 64 "," 17 "," 7 "," 21 "," 4 "," 396 "," 353 "," 198 "," 168 "," 37 "," 24 "," 10 "," 15 "," 61 "," 8 "," 1 "," 2 "," 4 "," 63 "," 5 "," 8 "," 31 "," 12 "
"WP"," 46 "," 41 "," 13 "," 16 "," 94 "," 30 "," 191 "," 233 "," 295 "," 47 "," 65 "," 103 "," 34 "," 24 "," 46 "," 15 "," 15 "," 39 "," 361 "," 145 "," 214 "," 35 "," 29 "," 56 "," 37 "," 634 "," 565 "," 471 "," 466 "," 116 "," 100 "," 55 "," 65 "," 103 "," 20 "," 5 "," 11 "," 69 "," 16 "," 16 "," 26 "," 80 "," 32 "
"SS"," 9 "," 22 "," 8 "," 4 "," 38 "," 5 "," 24 "," 70 "," 71 "," 12 "," 19 "," 19 "," 10 "," 7 "," 7 "," 4 "," 6 "," 7 "," 16 "," 22 "," 18 "," 3 "," 7 "," 8 "," 8 "," 511 "," 603 "," 422 "," 338 "," 87 "," 94 "," 37 "," 113 "," 77 "," 18 "," 4 "," 16 "," 6 "," 16 "," 8 "," 36 "," 24 "," 58 "
"SB"," 10 "," 29 "," 5 "," 7 "," 34 "," 9 "," 19 "," 43 "," 65 "," 12 "," 15 "," 22 "," 13 "," 11 "," 11 "," 4 "," 4 "," 11 "," 22 "," 22 "," 18 "," 11 "," 8 "," 10 "," 16 "," 435 "," 464 "," 362 "," 272 "," 103 "," 134 "," 67 "," 158 "," 152 "," 61 "," 5 "," 19 "," 5 "," 23 "," 34 "," 7 "," 41 "," 68 "
"SO"," 23 "," 54 "," 50 "," 72 "," 179 "," 46 "," 95 "," 60 "," 95 "," 25 "," 40 "," 40 "," 26 "," 17 "," 13 "," 6 "," 15 "," 41 "," 80 "," 124 "," 147 "," 73 "," 59 "," 114 "," 54 "," 486 "," 476 "," 1,221 "," 514 "," 196 "," 185 "," 91 "," 72 "," 139 "," 48 "," 16 "," 123 "," 33 "," 83 "," 26 "," 46 "," 25 "," 247 "
"MB"," 26 "," 59 "," 24 "," 30 "," 180 "," 25 "," 45 "," 101 "," 117 "," 26 "," 26 "," 28 "," 21 "," 11 "," 10 "," 6 "," 7 "," 6 "," 24 "," 21 "," 27 "," 11 "," 11 "," 23 "," 24 "," 821 "," 941 "," 628 "," 391 "," 186 "," 197 "," 109 "," 201 "," 288 "," 115 "," 6 "," 23 "," 15 "," 26 "," 60 "," 65 "," 218 "," 16 "
