,"RM","EN","EP","NB","BK","AS","MA",19,12,"LM","FV","CL","SL","BF","HY","SH","UC","FM","CN","PH","WC","LF","OR","RR","OW","EM","MT","PL","CC",16,24,"GP","BP","DC","CM","CV","ED","NC","WP","SS","SB","SO","MB"
"CC"," 188 "," 453 "," 261 "," 271 "," 522 "," 327 "," 582 "," 493 "," 527 "," 341 "," 554 "," 293 "," 308 "," 288 "," 200 "," 170 "," 187 "," 327 "," 295 "," 354 "," 308 "," 189 "," 164 "," 362 "," 475 "," 407 "," 398 "," 389 "," 68 "," 765 "," 1,094 "," 736 "," 1,668 "," 656 "," 409 "," 173 "," 486 "," 138 "," 381 "," 311 "," 229 "," 468 "," 373 "
16," 102 "," 103 "," 62 "," 112 "," 315 "," 148 "," 255 "," 258 "," 251 "," 128 "," 183 "," 124 "," 95 "," 73 "," 56 "," 49 "," 37 "," 86 "," 77 "," 85 "," 82 "," 33 "," 34 "," 134 "," 164 "," 901 "," 1,061 "," 1,612 "," 863 "," 30 "," 344 "," 364 "," 851 "," 263 "," 131 "," 43 "," 114 "," 27 "," 116 "," 96 "," 90 "," 171 "," 150 "
24," 96 "," 116 "," 45 "," 80 "," 294 "," 112 "," 191 "," 222 "," 238 "," 110 "," 147 "," 100 "," 63 "," 57 "," 37 "," 33 "," 24 "," 39 "," 55 "," 41 "," 44 "," 23 "," 19 "," 100 "," 122 "," 1,259 "," 1,611 "," 2,174 "," 1,180 "," 342 "," 48 "," 308 "," 883 "," 269 "," 133 "," 18 "," 69 "," 20 "," 81 "," 84 "," 111 "," 147 "," 168 "
"GP"," 30 "," 38 "," 22 "," 27 "," 114 "," 28 "," 70 "," 122 "," 141 "," 45 "," 55 "," 45 "," 36 "," 24 "," 24 "," 9 "," 10 "," 19 "," 35 "," 61 "," 47 "," 20 "," 24 "," 44 "," 45 "," 1,010 "," 1,179 "," 1,346 "," 684 "," 331 "," 301 "," 25 "," 187 "," 77 "," 55 "," 11 "," 45 "," 12 "," 46 "," 39 "," 55 "," 77 "," 98 "
"BP"," 53 "," 84 "," 35 "," 30 "," 85 "," 45 "," 86 "," 113 "," 133 "," 70 "," 86 "," 61 "," 52 "," 43 "," 29 "," 20 "," 21 "," 30 "," 37 "," 36 "," 35 "," 12 "," 12 "," 38 "," 73 "," 1,345 "," 1,506 "," 3,390 "," 1,572 "," 782 "," 896 "," 183 "," 43 "," 152 "," 124 "," 20 "," 60 "," 12 "," 62 "," 84 "," 119 "," 62 "," 145 "
"DC"," 45 "," 111 "," 49 "," 40 "," 127 "," 45 "," 102 "," 140 "," 180 "," 97 "," 111 "," 76 "," 64 "," 78 "," 51 "," 37 "," 42 "," 57 "," 69 "," 95 "," 69 "," 28 "," 23 "," 43 "," 62 "," 1,020 "," 1,156 "," 1,165 "," 678 "," 278 "," 290 "," 86 "," 167 "," 15 "," 53 "," 28 "," 116 "," 37 "," 78 "," 66 "," 106 "," 108 "," 223 "
"CM"," 13 "," 22 "," 4 "," 4 "," 33 "," 7 "," 21 "," 66 "," 87 "," 11 "," 14 "," 11 "," 6 "," 12 "," 8 "," 8 "," 7 "," 6 "," 21 "," 21 "," 21 "," 4 "," 2 "," 6 "," 13 "," 591 "," 677 "," 568 "," 418 "," 130 "," 144 "," 60 "," 123 "," 46 "," 7 "," 2 "," 22 "," 7 "," 18 "," 16 "," 52 "," 41 "," 94 "
"CV"," 8 "," 8 "," 4 "," 8 "," 51 "," 9 "," 27 "," 63 "," 97 "," 94 "," 56 "," 79 "," 37 "," 67 "," 23 "," 26 "," 18 "," 27 "," 7 "," 5 "," 7 "," 1 "," 3 "," 8 "," 10 "," 440 "," 415 "," 203 "," 184 "," 39 "," 27 "," 10 "," 20 "," 28 "," 3 "," 5 "," 136 "," 1 "," 4 "," 4 "," 3 "," 17 "," 3 "
"ED"," 24 "," 42 "," 16 "," 15 "," 139 "," 29 "," 79 "," 236 "," 296 "," 210 "," 156 "," 384 "," 116 "," 279 "," 87 "," 63 "," 54 "," 89 "," 13 "," 10 "," 10 "," 3 "," 4 "," 15 "," 25 "," 1,788 "," 1,400 "," 705 "," 545 "," 120 "," 69 "," 59 "," 64 "," 122 "," 29 "," 147 "," 20 "," 3 "," 12 "," 19 "," 17 "," 132 "," 22 "
"NC"," 7 "," 8 "," 4 "," 4 "," 33 "," 5 "," 38 "," 97 "," 126 "," 10 "," 9 "," 42 "," 6 "," 5 "," 8 "," 4 "," 3 "," 7 "," 71 "," 37 "," 57 "," 14 "," 7 "," 18 "," 6 "," 346 "," 310 "," 172 "," 151 "," 28 "," 21 "," 12 "," 11 "," 37 "," 8 "," 1 "," 3 "," 3 "," 61 "," 6 "," 8 "," 30 "," 9 "
"WP"," 43 "," 47 "," 14 "," 15 "," 81 "," 30 "," 189 "," 227 "," 295 "," 36 "," 65 "," 134 "," 31 "," 20 "," 39 "," 14 "," 12 "," 31 "," 349 "," 135 "," 191 "," 33 "," 25 "," 56 "," 32 "," 590 "," 549 "," 430 "," 454 "," 121 "," 98 "," 45 "," 65 "," 79 "," 21 "," 5 "," 15 "," 71 "," 15 "," 16 "," 26 "," 81 "," 30 "
"SS"," 11 "," 21 "," 8 "," 5 "," 30 "," 6 "," 23 "," 61 "," 74 "," 14 "," 16 "," 15 "," 10 "," 6 "," 7 "," 6 "," 5 "," 5 "," 15 "," 21 "," 15 "," 4 "," 3 "," 7 "," 9 "," 491 "," 539 "," 405 "," 326 "," 88 "," 91 "," 41 "," 93 "," 65 "," 14 "," 4 "," 17 "," 6 "," 18 "," 6 "," 33 "," 22 "," 59 "
"SB"," 11 "," 25 "," 4 "," 8 "," 25 "," 6 "," 23 "," 38 "," 62 "," 12 "," 18 "," 16 "," 10 "," 9 "," 10 "," 4 "," 4 "," 9 "," 19 "," 21 "," 18 "," 9 "," 5 "," 9 "," 14 "," 408 "," 433 "," 316 "," 263 "," 94 "," 123 "," 57 "," 135 "," 120 "," 58 "," 3 "," 17 "," 8 "," 23 "," 38 "," 6 "," 36 "," 55 "
"SO"," 25 "," 48 "," 52 "," 76 "," 200 "," 52 "," 90 "," 57 "," 89 "," 28 "," 37 "," 40 "," 23 "," 15 "," 11 "," 6 "," 17 "," 45 "," 74 "," 109 "," 138 "," 71 "," 58 "," 117 "," 52 "," 436 "," 438 "," 1,051 "," 469 "," 180 "," 170 "," 91 "," 65 "," 113 "," 40 "," 17 "," 123 "," 33 "," 80 "," 23 "," 48 "," 20 "," 231 "
"MB"," 25 "," 56 "," 20 "," 26 "," 139 "," 23 "," 41 "," 88 "," 106 "," 23 "," 24 "," 27 "," 18 "," 9 "," 11 "," 7 "," 6 "," 8 "," 23 "," 20 "," 24 "," 9 "," 10 "," 18 "," 20 "," 674 "," 836 "," 578 "," 370 "," 157 "," 175 "," 101 "," 163 "," 226 "," 103 "," 4 "," 22 "," 11 "," 26 "," 57 "," 51 "," 201 "," 14 "
