,"RM","EN","EP","NB","BK","AS","MA",19,12,"LM","FV","CL","SL","BF","HY","SH","UC","FM","CN","PH","WC","LF","OR","RR","OW","EM","MT","PL","CC",16,24,"GP","BP","DC","CM","CV","ED","NC","WP","SS","SB","SO","MB"
"RM"," 7 "," 119 "," 110 "," 96 "," 369 "," 86 "," 140 "," 144 "," 182 "," 41 "," 107 "," 81 "," 41 "," 40 "," 39 "," 21 "," 14 "," 35 "," 23 "," 16 "," 23 "," 10 "," 6 "," 17 "," 23 "," 242 "," 225 "," 293 "," 232 "," 129 "," 120 "," 31 "," 60 "," 48 "," 13 "," 8 "," 23 "," 6 "," 35 "," 12 "," 13 "," 23 "," 22 "
"EN"," 131 "," 11 "," 105 "," 89 "," 814 "," 133 "," 273 "," 424 "," 585 "," 93 "," 138 "," 151 "," 52 "," 48 "," 80 "," 30 "," 34 "," 72 "," 40 "," 22 "," 35 "," 8 "," 12 "," 28 "," 41 "," 789 "," 761 "," 704 "," 608 "," 147 "," 150 "," 48 "," 89 "," 123 "," 25 "," 10 "," 40 "," 8 "," 42 "," 24 "," 28 "," 49 "," 55 "
"EP"," 112 "," 81 "," 6 "," 61 "," 638 "," 78 "," 130 "," 234 "," 267 "," 91 "," 67 "," 76 "," 27 "," 17 "," 32 "," 8 "," 11 "," 33 "," 25 "," 18 "," 25 "," 8 "," 9 "," 31 "," 14 "," 494 "," 546 "," 360 "," 309 "," 68 "," 50 "," 24 "," 35 "," 53 "," 6 "," 5 "," 16 "," 4 "," 13 "," 8 "," 3 "," 45 "," 22 "
"NB"," 78 "," 69 "," 64 "," 7 "," 184 "," 50 "," 92 "," 198 "," 238 "," 68 "," 71 "," 71 "," 24 "," 24 "," 19 "," 8 "," 11 "," 31 "," 15 "," 14 "," 22 "," 12 "," 9 "," 18 "," 17 "," 584 "," 609 "," 361 "," 368 "," 127 "," 82 "," 27 "," 33 "," 39 "," 5 "," 8 "," 14 "," 4 "," 14 "," 5 "," 5 "," 68 "," 25 "
"BK"," 403 "," 817 "," 643 "," 200 "," 17 "," 309 "," 435 "," 445 "," 526 "," 229 "," 278 "," 253 "," 139 "," 135 "," 121 "," 87 "," 129 "," 283 "," 113 "," 137 "," 133 "," 85 "," 60 "," 55 "," 78 "," 705 "," 684 "," 858 "," 688 "," 317 "," 305 "," 124 "," 102 "," 132 "," 31 "," 52 "," 135 "," 34 "," 80 "," 31 "," 27 "," 172 "," 136 "
"AS"," 85 "," 107 "," 70 "," 47 "," 265 "," 7 "," 87 "," 165 "," 201 "," 66 "," 103 "," 94 "," 33 "," 43 "," 36 "," 20 "," 25 "," 46 "," 23 "," 23 "," 28 "," 10 "," 10 "," 15 "," 32 "," 443 "," 486 "," 355 "," 366 "," 152 "," 108 "," 26 "," 44 "," 44 "," 6 "," 7 "," 29 "," 6 "," 29 "," 7 "," 6 "," 43 "," 21 "
"MA"," 149 "," 263 "," 114 "," 95 "," 412 "," 84 "," 13 "," 170 "," 250 "," 86 "," 180 "," 199 "," 120 "," 107 "," 119 "," 70 "," 81 "," 135 "," 132 "," 109 "," 120 "," 47 "," 43 "," 61 "," 65 "," 849 "," 875 "," 727 "," 721 "," 269 "," 204 "," 80 "," 91 "," 94 "," 24 "," 29 "," 79 "," 35 "," 180 "," 25 "," 23 "," 81 "," 41 "
19," 151 "," 416 "," 230 "," 208 "," 410 "," 168 "," 160 "," 12 "," 69 "," 48 "," 128 "," 177 "," 199 "," 199 "," 210 "," 151 "," 175 "," 388 "," 275 "," 314 "," 248 "," 144 "," 104 "," 140 "," 55 "," 747 "," 726 "," 593 "," 656 "," 265 "," 234 "," 133 "," 118 "," 141 "," 66 "," 60 "," 235 "," 103 "," 232 "," 65 "," 38 "," 45 "," 88 "
12," 196 "," 565 "," 272 "," 249 "," 455 "," 207 "," 234 "," 67 "," 19 "," 47 "," 215 "," 334 "," 343 "," 343 "," 296 "," 210 "," 237 "," 463 "," 317 "," 351 "," 309 "," 183 "," 157 "," 195 "," 83 "," 891 "," 865 "," 806 "," 748 "," 271 "," 254 "," 155 "," 141 "," 186 "," 96 "," 99 "," 308 "," 125 "," 285 "," 78 "," 64 "," 86 "," 114 "
"LM"," 39 "," 87 "," 84 "," 70 "," 233 "," 66 "," 87 "," 49 "," 49 "," 7 "," 160 "," 237 "," 253 "," 249 "," 173 "," 99 "," 123 "," 173 "," 34 "," 29 "," 30 "," 12 "," 14 "," 37 "," 39 "," 588 "," 586 "," 529 "," 433 "," 149 "," 127 "," 46 "," 72 "," 98 "," 10 "," 95 "," 210 "," 12 "," 45 "," 14 "," 8 "," 21 "," 20 "
"FV"," 111 "," 126 "," 65 "," 74 "," 298 "," 104 "," 202 "," 150 "," 232 "," 159 "," 13 "," 275 "," 238 "," 277 "," 251 "," 107 "," 89 "," 145 "," 51 "," 35 "," 48 "," 24 "," 31 "," 57 "," 120 "," 717 "," 646 "," 692 "," 607 "," 210 "," 157 "," 61 "," 87 "," 111 "," 14 "," 52 "," 150 "," 10 "," 66 "," 15 "," 18 "," 40 "," 22 "
"CL"," 82 "," 153 "," 75 "," 74 "," 275 "," 107 "," 218 "," 211 "," 358 "," 222 "," 291 "," 10 "," 146 "," 199 "," 213 "," 128 "," 143 "," 233 "," 81 "," 84 "," 88 "," 45 "," 35 "," 75 "," 105 "," 490 "," 396 "," 460 "," 347 "," 123 "," 104 "," 51 "," 64 "," 75 "," 12 "," 78 "," 386 "," 42 "," 135 "," 14 "," 15 "," 40 "," 28 "
"SL"," 43 "," 53 "," 29 "," 28 "," 141 "," 39 "," 128 "," 215 "," 359 "," 263 "," 245 "," 149 "," 7 "," 106 "," 144 "," 72 "," 81 "," 163 "," 26 "," 24 "," 24 "," 7 "," 11 "," 21 "," 42 "," 612 "," 568 "," 426 "," 356 "," 96 "," 67 "," 39 "," 49 "," 65 "," 8 "," 39 "," 117 "," 4 "," 30 "," 10 "," 10 "," 25 "," 17 "
"BF"," 40 "," 47 "," 17 "," 22 "," 134 "," 41 "," 117 "," 206 "," 341 "," 246 "," 273 "," 204 "," 102 "," 9 "," 174 "," 121 "," 132 "," 227 "," 25 "," 16 "," 17 "," 5 "," 8 "," 13 "," 39 "," 529 "," 558 "," 392 "," 338 "," 75 "," 58 "," 26 "," 44 "," 78 "," 13 "," 61 "," 277 "," 5 "," 19 "," 8 "," 10 "," 13 "," 10 "
"HY"," 43 "," 86 "," 33 "," 19 "," 118 "," 40 "," 126 "," 220 "," 282 "," 163 "," 263 "," 208 "," 150 "," 182 "," 8 "," 111 "," 191 "," 357 "," 29 "," 28 "," 29 "," 9 "," 8 "," 18 "," 35 "," 363 "," 334 "," 250 "," 231 "," 64 "," 41 "," 24 "," 32 "," 48 "," 7 "," 22 "," 89 "," 9 "," 42 "," 7 "," 11 "," 12 "," 11 "
"SH"," 19 "," 27 "," 8 "," 8 "," 85 "," 21 "," 65 "," 144 "," 202 "," 90 "," 109 "," 117 "," 73 "," 118 "," 100 "," 6 "," 68 "," 163 "," 16 "," 11 "," 11 "," 4 "," 3 "," 8 "," 18 "," 370 "," 309 "," 218 "," 190 "," 51 "," 39 "," 10 "," 18 "," 32 "," 8 "," 24 "," 63 "," 2 "," 13 "," 7 "," 5 "," 5 "," 7 "
"UC"," 16 "," 32 "," 11 "," 12 "," 130 "," 28 "," 75 "," 179 "," 236 "," 120 "," 94 "," 156 "," 87 "," 134 "," 199 "," 73 "," 11 "," 173 "," 20 "," 18 "," 14 "," 3 "," 4 "," 10 "," 19 "," 650 "," 551 "," 271 "," 195 "," 42 "," 23 "," 11 "," 23 "," 42 "," 9 "," 18 "," 55 "," 4 "," 13 "," 5 "," 5 "," 18 "," 6 "
"FM"," 37 "," 80 "," 36 "," 30 "," 299 "," 51 "," 134 "," 391 "," 446 "," 175 "," 149 "," 222 "," 161 "," 231 "," 356 "," 192 "," 168 "," 24 "," 39 "," 31 "," 26 "," 8 "," 9 "," 27 "," 23 "," 1,337 "," 1,068 "," 486 "," 356 "," 88 "," 43 "," 22 "," 32 "," 60 "," 7 "," 26 "," 91 "," 6 "," 34 "," 7 "," 9 "," 47 "," 11 "
"CN"," 26 "," 41 "," 23 "," 15 "," 112 "," 28 "," 136 "," 263 "," 324 "," 29 "," 54 "," 81 "," 29 "," 27 "," 32 "," 18 "," 20 "," 37 "," 13 "," 124 "," 311 "," 106 "," 54 "," 96 "," 14 "," 760 "," 724 "," 373 "," 352 "," 84 "," 63 "," 37 "," 39 "," 70 "," 21 "," 8 "," 13 "," 66 "," 296 "," 15 "," 20 "," 68 "," 24 "
"PH"," 13 "," 22 "," 17 "," 15 "," 129 "," 24 "," 104 "," 305 "," 337 "," 29 "," 26 "," 80 "," 21 "," 14 "," 25 "," 12 "," 18 "," 29 "," 123 "," 10 "," 109 "," 43 "," 31 "," 109 "," 11 "," 1,280 "," 1,195 "," 453 "," 408 "," 84 "," 45 "," 73 "," 36 "," 93 "," 23 "," 4 "," 9 "," 33 "," 125 "," 24 "," 23 "," 104 "," 22 "
"WC"," 23 "," 35 "," 22 "," 19 "," 134 "," 30 "," 129 "," 250 "," 317 "," 30 "," 44 "," 85 "," 23 "," 17 "," 25 "," 12 "," 13 "," 23 "," 367 "," 115 "," 14 "," 63 "," 56 "," 173 "," 16 "," 1,187 "," 1,064 "," 481 "," 364 "," 83 "," 54 "," 50 "," 31 "," 75 "," 21 "," 7 "," 9 "," 57 "," 187 "," 16 "," 19 "," 130 "," 25 "
"LF"," 9 "," 9 "," 8 "," 12 "," 90 "," 12 "," 47 "," 141 "," 185 "," 12 "," 23 "," 43 "," 8 "," 7 "," 8 "," 4 "," 4 "," 8 "," 132 "," 54 "," 80 "," 7 "," 25 "," 82 "," 7 "," 858 "," 722 "," 259 "," 218 "," 36 "," 22 "," 19 "," 11 "," 30 "," 2 "," 1 "," 3 "," 15 "," 34 "," 3 "," 10 "," 64 "," 10 "
"OR"," 6 "," 12 "," 9 "," 10 "," 60 "," 11 "," 41 "," 104 "," 158 "," 12 "," 29 "," 32 "," 10 "," 6 "," 9 "," 3 "," 3 "," 9 "," 59 "," 44 "," 53 "," 26 "," 6 "," 68 "," 5 "," 713 "," 616 "," 205 "," 198 "," 34 "," 21 "," 22 "," 14 "," 24 "," 3 "," 3 "," 3 "," 11 "," 21 "," 3 "," 6 "," 49 "," 10 "
"RR"," 21 "," 23 "," 31 "," 20 "," 65 "," 17 "," 63 "," 155 "," 224 "," 39 "," 53 "," 74 "," 17 "," 17 "," 19 "," 10 "," 9 "," 28 "," 93 "," 98 "," 174 "," 82 "," 72 "," 10 "," 25 "," 966 "," 984 "," 524 "," 462 "," 152 "," 103 "," 50 "," 46 "," 40 "," 5 "," 7 "," 13 "," 15 "," 46 "," 7 "," 9 "," 100 "," 20 "
"OW"," 23 "," 38 "," 12 "," 14 "," 76 "," 32 "," 64 "," 55 "," 92 "," 35 "," 123 "," 101 "," 38 "," 39 "," 36 "," 19 "," 16 "," 19 "," 16 "," 13 "," 18 "," 7 "," 7 "," 24 "," 8 "," 1,261 "," 994 "," 643 "," 480 "," 170 "," 114 "," 37 "," 56 "," 49 "," 11 "," 8 "," 25 "," 4 "," 33 "," 8 "," 14 "," 36 "," 18 "
"EM"," 262 "," 762 "," 561 "," 534 "," 856 "," 531 "," 947 "," 959 "," 1,160 "," 685 "," 788 "," 523 "," 724 "," 627 "," 427 "," 439 "," 714 "," 1,472 "," 875 "," 1,540 "," 1,383 "," 898 "," 736 "," 912 "," 1,409 "," 98 "," 115 "," 505 "," 450 "," 905 "," 1,499 "," 1,127 "," 1,535 "," 1,072 "," 595 "," 497 "," 2,007 "," 406 "," 711 "," 486 "," 402 "," 471 "," 706 "
"MT"," 234 "," 657 "," 536 "," 488 "," 697 "," 507 "," 872 "," 719 "," 868 "," 564 "," 671 "," 378 "," 586 "," 566 "," 366 "," 334 "," 567 "," 1,083 "," 731 "," 1,189 "," 990 "," 656 "," 554 "," 842 "," 1,064 "," 136 "," 99 "," 224 "," 451 "," 1,190 "," 2,004 "," 1,533 "," 2,588 "," 1,300 "," 752 "," 433 "," 1,382 "," 317 "," 580 "," 601 "," 461 "," 445 "," 927 "
"PL"," 233 "," 499 "," 285 "," 278 "," 794 "," 313 "," 633 "," 552 "," 722 "," 443 "," 553 "," 438 "," 319 "," 321 "," 206 "," 180 "," 211 "," 408 "," 304 "," 379 "," 381 "," 208 "," 170 "," 406 "," 590 "," 709 "," 331 "," 101 "," 424 "," 1,363 "," 1,851 "," 1,128 "," 2,598 "," 981 "," 482 "," 165 "," 647 "," 147 "," 344 "," 356 "," 267 "," 1,342 "," 534 "
